jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
57770;9;5;'14';'13';'0';'13';'0';'1';'12'
57772;9;5;'10';'6';'0';'6';'0';'1';'5'
57774;9;5;'15';'12';'0';'12';'0';'0';'12'
57776;9;5;'2';'1';'0';'1';'0';'0';'1'
57778;9;5;'1';'1';'0';'1';'0';'0';'1'
57780;9;5;'1';'1';'0';'1';'0';'0';'1'
57784;9;5;'1';'0';'0';'0';'0';'0';'0'
57784;17;1;'1';'1';'0';'1';'0';'0';'1'
57792;9;5;'1';'1';'0';'1';'0';'0';'1'
57798;9;5;'1';'1';'0';'1';'0';'0';'1'
57802;9;5;'0';'0';'0';'0';'0';'0';'0'
57802;19;8;'0';'0';'0';'0';'0';'0';'0'
57814;3;9;'1';'0';'0';'0';'0';'0';'0'
57814;9;5;'1';'0';'0';'0';'0';'0';'0'
57824;5;7;'1';'0';'0';'0';'0';'0';'0'
57844;6;3;'11';'10';'0';'10';'0';'0';'10'
57844;9;5;'2';'2';'0';'2';'0';'0';'2'
57860;5;7;'1';'1';'0';'1';'0';'1';'0'
57872;5;7;'5';'0';'0';'0';'0';'0';'0'
57872;6;3;'38';'31';'0';'31';'0';'1';'30'
57874;5;7;'1';'1';'0';'1';'0';'0';'1'
57874;9;5;'25';'17';'0';'17';'0';'3';'14'
57880;5;7;'1';'1';'0';'1';'0';'0';'1'
57886;5;7;'5';'3';'0';'3';'0';'0';'3'
57892;5;7;'1';'1';'0';'1';'0';'0';'1'
57894;5;7;'7';'2';'0';'2';'0';'0';'2'
57906;5;7;'1';'0';'0';'0';'0';'0';'0'
57906;9;5;'1';'1';'0';'1';'0';'0';'1'
57908;5;7;'2';'0';'0';'0';'0';'0';'0'
57910;5;7;'1';'0';'0';'0';'0';'0';'0'
57914;5;7;'5';'4';'0';'0';'-4';'0';'0'
57918;6;3;'39';'37';'0';'36';'-1';'1';'35'
57920;5;7;'2';'0';'0';'0';'0';'0';'0'
57922;6;3;'12';'9';'0';'9';'0';'1';'8'
57924;9;5;'27';'26';'0';'26';'0';'6';'20'
57954;5;7;'1';'1';'0';'1';'0';'0';'1'
57956;5;7;'1';'1';'0';'1';'0';'1';'0'
57956;9;5;'1';'0';'0';'0';'0';'0';'0'
57960;5;7;'1';'1';'0';'1';'0';'1';'0'
